1,2,3,4,5,6,7,8,9,10,11,12,13
53076321,Zhivotnye,Koshki,Vislouhij Mal'chik,"Prodaetsja krasivyj kotenok shotlandskoj porody(mal'chik),vislouhij.Rodilsja 19 fevralja.","{""Poroda"":""Shotlandskaja""}",5000,,0,0,0,0,0.67
41166124,Bytovaja elektronika,Telefony,Prodaju Samsung SGH-E210 B/U,"Prodaju sotovyj telefon,polnost'ju v ispravnom sostojanie,B/U.Pokupalsja za 5000rub. est' vse dokumenty.Vse chto shlo v komplekte sohranilos',USB shnur i naushniki .TORG","{""Vid telefona"":""Samsung""}",1100,,0,0,0,0,1.64
72672950,Transport,Gruzoviki i spetstehnika,Mersedess atego,"Mersedess atego 1998g. 152 l.s MKPP.   Na ressorah, gidrobort. probeg 683 000 km.Stoit kontraktnyj dvigatel'.  RMM-7490kg  MBN-5030.Avto tehnicheski ispraven i gotov k rabote.Ostatok protektora v srednem 60-70%  po krugu.","{""Vid tehniki"":""Gruzoviki""}",950000,,0,0,0,0,20.21
88347131,Lichnye veschi,Tovary dlja detej i igrushki,Detskaja krovatka,"Prodaju detskuju krovatku v otlichnom sostojanii (b/u 4 mesjatsa).Tsvet krasno-korichnevyj. ^p Dlina (sm) 127 ^p Shirina (sm) 70 ^p Vysota (sm) 109 ^p Razmery spal'nogo mesta 120H60 sm. ^p tri urovnja lozha, ^p bez jaschika, ^p majatnik prodol'nogo kachanija (s fiksatsiej) ^p opuskajuscheesja bokovoe ograzhdenie ^p Tsena 4 000 rublej. ^p Krovatka v sobranom sostojanii. ^p Dopolnitel'no mozhno priobresti ortopedicheskij matras, baldahin, mjagkie bortiki. ^p Tsena s polnym komplektom 5 500 rub. Pomogu v dostavke.","{""Vid tovara"":""Detskaja mebel'""}",0,,0,0,0,0,12.17
83625593,Rabota,Rezjume,Sushist,ischu rabotu.6/1 47000r.opyt' rabota 2goda,"{""Sfera dejatel'nosti"":""Proizvodstvo, syr'e, s/h"", ""Grafik raboty"":""Polnyj den'""}",47000,,0,0,0,0,0.21
89209418,Dlja biznesa,Produkty pitanija,Ljuboj alkogol',"Vse est' v nalichie kan'jak, vodka, viski raznye, shampanskoe, rom. Zvonite tseny vse raznye",,0,1,1,0,0,0,0.23
42791898,Transport,Avtomobili s probegom,"Hyundai Accent, 2005","Prodaju aktsent, 102 l.s., zadnjaja nezavisimaja podveska, otsinkovannyj kuzov, kond., GUR, zaschita kartera dv.,  magnitola PIONER, stojki amortizatora  KYB, letnjaja importnaja rezina na lityh diskah, uhozhennyj ne prokurennyj salonNa vse voprosy otvechu po tel. 8-@@PHONE@@ Srochno! Torg.","{""Marka"":""Hyundai"", ""Model'"":""Accent"", ""God vypuska"":""2005"", ""Probeg"":""100 000 - 109 999"", ""Tip kuzova"":""Sedan"", ""Tsvet"":""Serebrjanyj "", ""Ob'em dvigatelja"":""1.5"", ""Korobka peredach"":""Mehanicheskaja"", ""Tip dvigatelja"":""Benzinovyj"", ""Privod"":""Perednij"", ""Rul'"":""Levyj"", ""Sostojanie"":""Ne bityj""}",223000,,0,1,0,0,20.45
17950704,Nedvizhimost',Kvartiry,"1-k kvartira, 35 m, 6/9 et.","ne uglovaja kvartira uluchshennoj planirovki, 35/18/9, sanuzel razdel'nyj pomenjany truby, lodzhija ne zasteklena, trebuetsja kosmetika, vstroennye shkafy.","{""Tip ob'javlenija"":""Prodam"", ""Kolichestvo komnat"":""1"", ""Vid ob'ekta"":""Vtorichka"", ""Etazh"":""Ne pervyj i ne poslednij"", ""Etazh"":""6"", ""Etazhej v dome"":""9-12"", ""Etazhej v dome"":""9"", ""Tip doma"":""Panel'nyj"", ""Adres"":""Katushechnaja ulitsa, 25""}",1750000,,0,0,0,0,0.76
23965265,Rabota,Rezjume,Horoshaja rabota s dostojnoj z/p,"ischu horoshuju rabotu s dostojnoj z/p. ^p o sebe: ^p vysshee pedagogicheskoj obrazovanie (spetsial'nost' ""matematika"") ^p opyt raboty v sfere doshkol'nogo obrazovanija (sotsial'nyj pedagog) ^p otvetstvennaja, ispolnitel'naja, obuchaemaja","{""Sfera dejatel'nosti"":""Administrativnaja rabota"", ""Grafik raboty"":""Polnyj den'""}",17000,,0,0,0,0,1.57
81536948,Rabota,Vakansii,Merchendajzer,"Agentstvo marketingovyh kommunikatsij OPEN priglashaet kandidatov na vakansiju merchendajzer, vykladka produktsii - kofe, sneki, shokolad. ^p   ^p Priglashaem: ^p     kandidatov, imejuschih opyt raboty prodavtsom, kassirom ili merchendajzerom; ^p     objazatel'no nalichie dejstvujuschej san knizhki ili gotovnost' sdelat' ee v kratchajshie sroki; ^p     lichnye kachestva: tseleustremlennost', kommunikabel'nost', zhelanie rabotat', natselennost' na kar'ernyj rost, otvetstvennyj. ^p Dolzhnostnye objazannosti: ^p     svoevremennoe poseschenie torgovyh tochek; ^p     obespechenie vykladki tovara soglasno planogramme; ^p     rotatsija po srokam godnosti; ^p     otslezhivanie aktual'nosti tsennikov; ^p     uvelichenie polochnogo prostranstva; ^p     predostavlenie otchetnosti i fotootchetov. ^p   ^p My predlagaem: ^p     udobnyj grafik: 5/2 (vyhodnye: sb i vs), s 8.00 do 15.00; ^p     trudoustrojstvo soglasno TK RF, oplachivaemyj otpusk i bol'nichnye; ^p     vozmozhnost' kar'ernogo rosta; ^p     uroven' zarabotnoj platy v rajone 15 000 rub.","{""Sfera dejatel'nosti"":""Marketing, reklama, PR"", ""Grafik raboty"":""Polnyj den'""}",15000,,0,0,0,0,20.96
13534755,Lichnye veschi,Chasy i ukrashenija,Chasy Festina original,"Chasy Festina kvarts, original, nemnogo bu ^p Art.2457 ^p GARANTIJa! ^p Uvazhaemye pokupateli! Vse telefony i prochaja tehnika, prodavaemye v nashih magazinah, podlezhat tschatel'noj proverke kvalifitsirovannymi spetsialistami.Eto pozvoljaet Vam poluchit' garantiju na tovar b/u. Vsja tehnika prohodit dvuhurovnevyj kontrol' kachestva. Budem rady videt' Vas v chisle nashih postojannyh pokupatelej. Smotrite nashi ostal'nye loty.","{""Vid tovara"":""Chasy""}",4000,,0,0,0,0,0.43
20969159,Nedvizhimost',Kvartiry,"1-k kvartira, 31 m, 5/5 et.","Prodaetsja 1 komn.kv-ra v tsentre,5/5k, 31/17 kv.m., ^p v hor.sost. plast.okna, pomen.dveri (vh, i mezhkomn.), ^p pomen.san.tehn., v kor.shkaf-kupe.1 vz.sob-k. ^p    Vse rjadom tsentr.rynok, mag.,ostan.d/sady,shkola.","{""Tip ob'javlenija"":""Prodam"", ""Kolichestvo komnat"":""1"", ""Vid ob'ekta"":""Vtorichka"", ""Etazh"":""Ne pervyj"", ""Etazh"":""5"", ""Etazhej v dome"":""5-8"", ""Etazhej v dome"":""5"", ""Tip doma"":""Kirpichnyj"", ""Adres"":""ul.Pastuhova,41a""}",1650000,,0,0,0,0,3.5
29853643,Lichnye veschi,"Odezhda, obuv', aksessuary",Norkovyj polushubok,"Srochno prodam norkovyj polushubok,chernyj brilliant.","{""Vid odezhdy"":""Zhenskaja odezhda"", ""Predmet odezhdy"":""Verhnjaja odezhda"", ""Razmer"":""4446 (M)""}",17000,,0,0,0,0,0.01
83558251,Nedvizhimost',Kvartiry,"1-k kvartira, 48 m, 3/9 et.","polnost'ju mebelirovannaja, s b/tehnikoj, vse v otlichnom sostojanii","{""Tip ob'javlenija"":""Sdam"", ""Kolichestvo komnat"":""1"", ""Srok arendy"":""Na dlitel'nyj srok"", ""Etazh"":""Ne pervyj i ne poslednij"", ""Etazh"":""3"", ""Etazhej v dome"":""9-12"", ""Etazhej v dome"":""9"", ""Tip doma"":""Kirpichnyj"", ""Adres"":""ul.Artema""}",12000,,0,0,0,0,6
85713969,Lichnye veschi,Tovary dlja detej i igrushki,Razvivajuschij kovrik,ot 0 do 1 goda,"{""Vid tovara"":""Igrushki""}",1600,,0,0,0,0,0.44
74987139,Uslugi,Predlozhenija uslug,Pomozhem pri pereezde,"Predostavim uslugi gruzoperevozok, gruzchikov, pereezdov. Nashi rabotniki professional'no i kachestvenno osuschestvjat pereezd, perevozku ljuboj  mebeli!!  ^p My predlagaem polnyj kompleks uslug po pereezdu, predostavim upakovschikov, sborschikov mebeli, pogruzochno-razgruzochnye raboty, perevozku.  ^p Takzhe vozmozhna rasstanovka mebeli, uborka stroitel'nogo musora. ^p Nashi tseny Vas ustrojat.  ^p Vozmozhen srochnyj, operativnyj vyezd k Vam na zakaz, v den' obraschenija","{""Vid uslugi"":""Drugoe""}",0,,0,0,0,0,22.99
16322997,Dlja doma i dachi,Remont i stroitel'stvo,Ogneupornyj kirpich,ogneupornyj kirpich b/u  ^p vozmozhna dostavka na poddonah,"{""Vid tovara"":""Strojmaterialy""}",0,,0,0,0,0,21
79901808,Hobbi i otdyh,Muzykal'nye instrumenty,Ibanez BTB305FM transparent black,"Bas-gitara c 5 strunami, 24 lada, menzura 35"", bolchenyj grif,    aktivnaja elektronika, korpus: krasnoe derevo, top: klen ^p  grif: klen, nakladka: palisandr. ^p  Proizvodstvo Japonija, sborka Indonezija. ^p  V komplekte chehol, akusticheskij provod 3m, remen'.","{""Vid tovara"":""Gitary i drugie strunnye""}",11000,,0,0,0,0,0.25
83640527,Bytovaja elektronika,Audio i video,Prodam televizor supra,"Prodam televizor supra 500r ^p vozmozhen konstruktivnyj torg ^p vse rabotaet,est' pul't","{""Vid tovara"":""Televizory i proektory""}",500,,0,0,0,0,14.93
16060359,Hobbi i otdyh,Bilety i puteshestvija,"Gorjaschee predlozhenie Ispanija, ostrov tenerife","Gorjaschee predlozhenie Ispanija, ostrov TENERIFE ^p vylet iz SPb 14.12 na 10 nochej ^p HOTEL GLOBALES TAMAIMO TROPICAL 3*-15900 rub na chel/ bez pitanija ^p HOTEL BLUE SEA CALLAO GARDEN 3*-17900 rub na chel/ zavtraki ^p FIESTA HOTEL PLAYA PARAISO3* - 21500 rub na chel/ zavtrak uzhin ^p BARCELO VARADERO 3* -23900 rub na chel/ vse vkljucheno ^p Ogromnyj vybor otelej.  ^p !!!VSE TURY MOZhNO PRIOBRESTI V KREDIT BEZ PERVONAChAL'NOGO VZNOSA!!!!! ^p Zvonite: 710-44-99 ili 8(@@PHONE@@ ^p Prihodite:Ital'janskaja ul. d. 2, ofis 303","{""Vid tovara"":""Puteshestvija""}",15900,,0,1,0,0,0.24
15526889,Dlja doma i dachi,Mebel' i inter'er,Knizhnyj shkaf darom,"Otdam darom knizhnyj shkaf s antresoljami, v horoshem sostojanii.","{""Vid tovara"":""Shkafy i komody""}",0,,0,0,0,0,5.29
68774577,Transport,Gruzoviki i spetstehnika,Manipuljator kamaz 43118-10,"Prodaju Manipuljator na baze KAMAZ Vezdehod Unic UR-V 504 v otlichnom rabochem sostojanii !!! Gruzopod'emnost' strely 5 tonn , strela 11 metr , gruzopod'emnost' 12 tonik , dlinna kuzova 6 metrov , shirina 2 metra 40 sm. ^p Kolesa sovershenno novye , zadnij bort tak zhe novyj ! ^p 2007 goda vypuska !) Zvonite","{""Vid tehniki"":""Avtokrany""}",1870000,,0,0,0,0,20.42
80108021,Nedvizhimost',Zemel'nye uchastki,Uchastok 15 sot. (IZhS),"Otlichnoe predlozhenie.Srochnaja prodazha.Prodam zemel'nyj uchastok  15 sotok v s.Kriushi. Gaz podveden, voda, banja. Na beregu Volgi.","{""Rasstojanie do goroda, km"":""V cherte goroda"", ""Tip ob'javlenija"":""Prodam"", ""Kategorija zemel'"":""Poselenij (IZhS)"", ""Ploschad'"":""15""}",550000,,0,0,0,0,21.57
57529928,Nedvizhimost',Kvartiry,"3-k kvartira, 79 m, 16/17 et.","Novyj krupnyj rajon na zapade Krasnodara. 17-etazhnye zdanija s razvitoj infrastrukturoj. Prodaetsja trehkomnatnaja kvartira udobnoj planirovki, vyhod na prostornyj zasteklennyj balkon.","{""Tip ob'javlenija"":""Prodam"", ""Kolichestvo komnat"":""3"", ""Vid ob'ekta"":""Novostrojka"", ""Etazh"":""Ne pervyj i ne poslednij"", ""Etazh"":""16"", ""Etazhej v dome"":""17-25"", ""Etazhej v dome"":""17"", ""Adres"":""Blizhnij zapadnyj obhod""}",2394600,,0,0,0,0,21.12
96535437,Lichnye veschi,Tovary dlja detej i igrushki,Sanki koljaska Obmen,"obmen na koljasku dlja mal'chika, sanki novye","{""Vid tovara"":""Velosipedy i samokaty""}",0,,0,0,0,0,8.24
19577308,Rabota,Vakansii,Trebuetsja master nogtevogo servisa,"V salon parikmaherskuju na arendu trebuetsja master po nogtevomu servisu, salon narabotannyj,uslovija horoshie,  telefon SALONA 608649. Salon nahoditsja  A.PETROVA 208.","{""Sfera dejatel'nosti"":""Fitnes, salony krasoty"", ""Grafik raboty"":""Smennyj grafik""}",0,,0,0,0,0,19.84
86495688,Nedvizhimost',Komnaty,"Komnata 18 m v 1-k, 3 et.",SDAM GOSTINKU MEBEL' ChASTIChNO OPLATA PO FAKTU,"{""Tip ob'javlenija"":""Sdam"", ""Srok arendy"":""Na dlitel'nyj srok"", ""Komnat v kvartire"":""1"", ""Etazh"":""3"", ""Adres"":""50 LET PROFSOJuZOV""}",6000,,0,0,0,0,0.16
14088431,Hobbi i otdyh,Sport i otdyh,"Botinki dlja snouborda ""Burton""","Botinki v ideal'nom sostojanii ,treschin net ,vse tseloe ,mozhno skazat' novye .Botinki 34 razmera ,no napisano ,chto 35 ,tak kak oni malomerki .Samaja luchshaja firma v svoem klasse .","{""Vid tovara"":""Zimnie vidy sporta""}",2000,,0,0,0,0,17.56
17635877,Uslugi,Predlozhenija uslug,Metallicheskie karkasy zdanij,"Svarivaem i ustanavlivaem karkasy zdanij i sooruzhenij: avtomojka, garazh, angar, krovel'nye konstruktsii.  ^p Kvalifitsirovannyj opyt i nadezhnyj ispolnitel'.  ^p Svarochnye raboty. Montazhnye raboty. Gruntovka izdelij.","{""Vid uslugi"":""Remont, stroitel'stvo""}",17000,,0,0,0,0,10.94
81442086,Lichnye veschi,Detskaja odezhda i obuv',Plat'e printsessy,"Bezumno krasivoe plat'e. odeli odin raz na dr. razmer 92-104. tsena 1200rub. ^p mozhno vprintsipe i na men'shij rost odet',prosto budet chutku dlinee. k plat'ju prodaju tufli H&M razmer 24, na nozhku 15 sm..odeli takzhe raz na dr.tsena 300r","{""Vid odezhdy"":""Dlja devochek"", ""Predmet odezhdy"":""Plat'ja i jubki"", ""Razmer"":""98-104 sm (2-4 goda)""}",1200,,0,0,0,0,17.61
32070581,Bytovaja elektronika,Tovary dlja komp'jutera,Monitor,Otlichno rabotaet,"{""Vid tovara"":""Monitory""}",200,,0,0,0,0,0.18
28452060,Transport,Mototsikly i mototehnika,Nexus F22,"Skuter Nexus F22 2t, 100 ss, v horoshem sostojanii, tresnut zadnij plastik .. vidno na foto. , dvigatel' v otlichnom sostojanii novyj variator , novaja porshnevaja , karbjurator pochistil , zameneny vse rashodniki, glushitel' perevaren, , gotov k prodazhe. otdam shlem i audio sistema .probeg  9800 km. zvonit' v ljuboe vremja.","{""Vid tehniki"":""Mopedy i skutery""}",13000,,0,0,0,0,7.64
22672711,Lichnye veschi,"Odezhda, obuv', aksessuary",Plat'e,Prodam novoe  v ideal'nom sostojanie razmer s.Dlina okolo 85-90 sm.Kachestvo shikarnoe.Tsvet sinij.Prodaju potomu chto ne podoshlo po razmeru.Po vsem voprosam zvonite sprashivajte vsegda otvechu!,"{""Vid odezhdy"":""Zhenskaja odezhda"", ""Predmet odezhdy"":""Plat'ja i jubki"", ""Razmer"":""4244 (S)""}",1900,,0,0,0,0,5.67
85095869,Nedvizhimost',Kvartiry,"3-k kvartira, 71 m, 2/3 et.","Prodaetsja 3 komnatnaja kvartira, 71 kv.m. 3/3 et. Komnaty izolirovannye, sanuzel razdel'nyj. Pod chistovuju otdelku: gidroizoljatsija sanuzlov, 2-h kamernye steklopakety, radiatory, v kazhdoj kvartire predusmotren balkon ili lodzhija, individual'noe pokvartirnoe otoplenie s ustanovkoj otopitel'nyh priborov i schetchikov. Rassrochka ot zastrojschika. Pomosch' v oformlenii ipoteki.","{""Tip ob'javlenija"":""Prodam"", ""Kolichestvo komnat"":""3"", ""Vid ob'ekta"":""Novostrojka"", ""Etazh"":""Ne pervyj i ne poslednij"", ""Etazh"":""2"", ""Etazhej v dome"":""< 5"", ""Etazhej v dome"":""3"", ""Tip doma"":""Kirpichnyj"", ""Ploschad'"":""71"", ""Adres"":""g.Tula mkr.Levoberezhnyj""}",2485000,,0,0,0,0,0.18
